,date,sarimax_cases_forecasted,state
0,2020-12-10,177928.0,Kansas
1,2020-12-11,182488.0,Kansas
2,2020-12-12,183578.0,Kansas
3,2020-12-13,189707.0,Kansas
4,2020-12-14,190330.0,Kansas
5,2020-12-15,190727.0,Kansas
6,2020-12-16,196292.0,Kansas
7,2020-12-17,197207.0,Kansas
8,2020-12-18,201834.0,Kansas
9,2020-12-19,203780.0,Kansas
10,2020-12-20,210722.0,Kansas
11,2020-12-21,212023.0,Kansas
12,2020-12-22,212954.0,Kansas
13,2020-12-23,218715.0,Kansas
14,2020-12-24,220317.0,Kansas
15,2020-12-25,225346.0,Kansas
16,2020-12-26,228402.0,Kansas
17,2020-12-27,236472.0,Kansas
18,2020-12-28,238718.0,Kansas
19,2020-12-29,240455.0,Kansas
20,2020-12-30,246848.0,Kansas
21,2020-12-31,249379.0,Kansas
22,2021-01-01,255123.0,Kansas
23,2021-01-02,259503.0,Kansas
24,2021-01-03,268830.0,Kansas
25,2021-01-04,272284.0,Kansas
26,2021-01-05,275091.0,Kansas
27,2021-01-06,282208.0,Kansas
28,2021-01-07,285913.0,Kansas
29,2021-01-08,292562.0,Kansas
30,2021-01-09,298545.0,Kansas
31,2021-01-10,309452.0,Kansas
32,2021-01-11,314355.0,Kansas
33,2021-01-12,318470.0,Kansas
34,2021-01-13,326632.0,Kansas
35,2021-01-14,331771.0,Kansas
36,2021-01-15,339605.0,Kansas
37,2021-01-16,347434.0,Kansas
38,2021-01-17,360154.0,Kansas
39,2021-01-18,366763.0,Kansas
40,2021-01-19,372446.0,Kansas
41,2021-01-20,381896.0,Kansas
42,2021-01-21,388717.0,Kansas
43,2021-01-22,397985.0,Kansas
44,2021-01-23,407912.0,Kansas
45,2021-01-24,422694.0,Kansas
46,2021-01-25,431261.0,Kansas
47,2021-01-26,438763.0,Kansas
48,2021-01-27,449742.0,Kansas
49,2021-01-28,458499.0,Kansas
50,2021-01-29,469449.0,Kansas
51,2021-01-30,481728.0,Kansas
52,2021-01-31,498831.0,Kansas
53,2021-02-01,509608.0,Kansas
