,date,sarimax_deaths_forecasted,state
0,2020-12-10,1860.0,Kansas
1,2020-12-11,1947.0,Kansas
2,2020-12-12,1958.0,Kansas
3,2020-12-13,2023.0,Kansas
4,2020-12-14,2035.0,Kansas
5,2020-12-15,2048.0,Kansas
6,2020-12-16,2107.0,Kansas
7,2020-12-17,2120.0,Kansas
8,2020-12-18,2254.0,Kansas
9,2020-12-19,2270.0,Kansas
10,2020-12-20,2387.0,Kansas
11,2020-12-21,2403.0,Kansas
12,2020-12-22,2420.0,Kansas
13,2020-12-23,2506.0,Kansas
14,2020-12-24,2526.0,Kansas
15,2020-12-25,2647.0,Kansas
16,2020-12-26,2674.0,Kansas
17,2020-12-27,2772.0,Kansas
18,2020-12-28,2800.0,Kansas
19,2020-12-29,2828.0,Kansas
20,2020-12-30,2914.0,Kansas
21,2020-12-31,2943.0,Kansas
22,2021-01-01,3098.0,Kansas
23,2021-01-02,3132.0,Kansas
24,2021-01-03,3267.0,Kansas
25,2021-01-04,3301.0,Kansas
26,2021-01-05,3336.0,Kansas
27,2021-01-06,3443.0,Kansas
28,2021-01-07,3481.0,Kansas
29,2021-01-08,3635.0,Kansas
30,2021-01-09,3680.0,Kansas
31,2021-01-10,3810.0,Kansas
32,2021-01-11,3856.0,Kansas
33,2021-01-12,3902.0,Kansas
34,2021-01-13,4014.0,Kansas
35,2021-01-14,4062.0,Kansas
36,2021-01-15,4243.0,Kansas
37,2021-01-16,4296.0,Kansas
38,2021-01-17,4454.0,Kansas
39,2021-01-18,4509.0,Kansas
40,2021-01-19,4564.0,Kansas
41,2021-01-20,4695.0,Kansas
42,2021-01-21,4752.0,Kansas
43,2021-01-22,4940.0,Kansas
44,2021-01-23,5005.0,Kansas
45,2021-01-24,5167.0,Kansas
46,2021-01-25,5233.0,Kansas
47,2021-01-26,5299.0,Kansas
48,2021-01-27,5441.0,Kansas
49,2021-01-28,5509.0,Kansas
50,2021-01-29,5720.0,Kansas
51,2021-01-30,5795.0,Kansas
52,2021-01-31,5980.0,Kansas
53,2021-02-01,6056.0,Kansas
54,2021-02-02,6133.0,Kansas
55,2021-02-03,6292.0,Kansas
56,2021-02-04,6371.0,Kansas
57,2021-02-05,6593.0,Kansas
58,2021-02-06,6681.0,Kansas
59,2021-02-07,6875.0,Kansas
60,2021-02-08,6964.0,Kansas
61,2021-02-09,7053.0,Kansas
62,2021-02-10,7225.0,Kansas
63,2021-02-11,7315.0,Kansas
64,2021-02-12,7559.0,Kansas
65,2021-02-13,7658.0,Kansas
66,2021-02-14,7873.0,Kansas
67,2021-02-15,7974.0,Kansas
68,2021-02-16,8075.0,Kansas
69,2021-02-17,8264.0,Kansas
70,2021-02-18,8366.0,Kansas
71,2021-02-19,8625.0,Kansas
72,2021-02-20,8737.0,Kansas
73,2021-02-21,8965.0,Kansas
74,2021-02-22,9079.0,Kansas
75,2021-02-23,9193.0,Kansas
76,2021-02-24,9397.0,Kansas
77,2021-02-25,9512.0,Kansas
78,2021-02-26,9792.0,Kansas
79,2021-02-27,9916.0,Kansas
80,2021-02-28,10164.0,Kansas
81,2021-03-01,10291.0,Kansas
82,2021-03-02,10419.0,Kansas
