,date,state,deaths,date_str,abbrev,category
0,2020-01-21,Alabama,0.0,2020-01-21,AL,0
1,2020-01-22,Alabama,0.0,2020-01-22,AL,0
2,2020-01-23,Alabama,0.0,2020-01-23,AL,0
3,2020-01-24,Alabama,0.0,2020-01-24,AL,0
4,2020-01-25,Alabama,0.0,2020-01-25,AL,0
5,2020-01-26,Alabama,0.0,2020-01-26,AL,0
6,2020-01-27,Alabama,0.0,2020-01-27,AL,0
7,2020-01-28,Alabama,0.0,2020-01-28,AL,0
8,2020-01-29,Alabama,0.0,2020-01-29,AL,0
9,2020-01-30,Alabama,0.0,2020-01-30,AL,0
10,2020-01-31,Alabama,0.0,2020-01-31,AL,0
11,2020-02-01,Alabama,0.0,2020-02-01,AL,0
12,2020-02-02,Alabama,0.0,2020-02-02,AL,0
13,2020-02-03,Alabama,0.0,2020-02-03,AL,0
14,2020-02-04,Alabama,0.0,2020-02-04,AL,0
15,2020-02-05,Alabama,0.0,2020-02-05,AL,0
16,2020-02-06,Alabama,0.0,2020-02-06,AL,0
17,2020-02-07,Alabama,0.0,2020-02-07,AL,0
18,2020-02-08,Alabama,0.0,2020-02-08,AL,0
19,2020-02-09,Alabama,0.0,2020-02-09,AL,0
20,2020-02-10,Alabama,0.0,2020-02-10,AL,0
21,2020-02-11,Alabama,0.0,2020-02-11,AL,0
22,2020-02-12,Alabama,0.0,2020-02-12,AL,0
23,2020-02-13,Alabama,0.0,2020-02-13,AL,0
24,2020-02-14,Alabama,0.0,2020-02-14,AL,0
25,2020-02-15,Alabama,0.0,2020-02-15,AL,0
26,2020-02-16,Alabama,0.0,2020-02-16,AL,0
27,2020-02-17,Alabama,0.0,2020-02-17,AL,0
28,2020-02-18,Alabama,0.0,2020-02-18,AL,0
29,2020-02-19,Alabama,0.0,2020-02-19,AL,0
30,2020-02-20,Alabama,0.0,2020-02-20,AL,0
31,2020-02-21,Alabama,0.0,2020-02-21,AL,0
32,2020-02-22,Alabama,0.0,2020-02-22,AL,0
33,2020-02-23,Alabama,0.0,2020-02-23,AL,0
34,2020-02-24,Alabama,0.0,2020-02-24,AL,0
35,2020-02-25,Alabama,0.0,2020-02-25,AL,0
36,2020-02-26,Alabama,0.0,2020-02-26,AL,0
37,2020-02-27,Alabama,0.0,2020-02-27,AL,0
38,2020-02-28,Alabama,0.0,2020-02-28,AL,0
39,2020-02-29,Alabama,0.0,2020-02-29,AL,0
40,2020-03-01,Alabama,0.0,2020-03-01,AL,0
41,2020-03-02,Alabama,0.0,2020-03-02,AL,0
42,2020-03-03,Alabama,0.0,2020-03-03,AL,0
43,2020-03-04,Alabama,0.0,2020-03-04,AL,0
44,2020-03-05,Alabama,0.0,2020-03-05,AL,0
45,2020-03-06,Alabama,0.0,2020-03-06,AL,0
46,2020-03-07,Alabama,0.0,2020-03-07,AL,0
47,2020-03-08,Alabama,0.0,2020-03-08,AL,0
48,2020-03-09,Alabama,0.0,2020-03-09,AL,0
49,2020-03-10,Alabama,0.0,2020-03-10,AL,0
50,2020-03-11,Alabama,0.0,2020-03-11,AL,0
51,2020-03-12,Alabama,0.0,2020-03-12,AL,0
52,2020-03-13,Alabama,0.0,2020-03-13,AL,0
53,2020-03-14,Alabama,0.0,2020-03-14,AL,0
54,2020-03-15,Alabama,0.0,2020-03-15,AL,0
55,2020-03-16,Alabama,0.0,2020-03-16,AL,0
56,2020-03-17,Alabama,0.0,2020-03-17,AL,0
57,2020-03-18,Alabama,0.0,2020-03-18,AL,0
58,2020-03-19,Alabama,0.0,2020-03-19,AL,0
59,2020-03-20,Alabama,0.0,2020-03-20,AL,0
60,2020-03-21,Alabama,0.0,2020-03-21,AL,0
61,2020-03-22,Alabama,0.0,2020-03-22,AL,0
62,2020-03-23,Alabama,0.0,2020-03-23,AL,0
63,2020-03-24,Alabama,0.0,2020-03-24,AL,0
64,2020-03-25,Alabama,1.0,2020-03-25,AL,1 - 10
65,2020-03-26,Alabama,3.0,2020-03-26,AL,1 - 10
66,2020-03-27,Alabama,4.0,2020-03-27,AL,1 - 10
67,2020-03-28,Alabama,4.0,2020-03-28,AL,1 - 10
68,2020-03-29,Alabama,5.0,2020-03-29,AL,1 - 10
69,2020-03-30,Alabama,11.0,2020-03-30,AL,11 - 100
70,2020-03-31,Alabama,14.0,2020-03-31,AL,11 - 100
71,2020-04-01,Alabama,28.0,2020-04-01,AL,11 - 100
72,2020-04-02,Alabama,32.0,2020-04-02,AL,11 - 100
73,2020-04-03,Alabama,38.0,2020-04-03,AL,11 - 100
74,2020-04-04,Alabama,44.0,2020-04-04,AL,11 - 100
75,2020-04-05,Alabama,45.0,2020-04-05,AL,11 - 100
76,2020-04-06,Alabama,53.0,2020-04-06,AL,11 - 100
77,2020-04-07,Alabama,64.0,2020-04-07,AL,11 - 100
78,2020-04-08,Alabama,67.0,2020-04-08,AL,11 - 100
79,2020-04-09,Alabama,78.0,2020-04-09,AL,11 - 100
80,2020-04-10,Alabama,80.0,2020-04-10,AL,11 - 100
81,2020-04-11,Alabama,93.0,2020-04-11,AL,11 - 100
82,2020-04-12,Alabama,93.0,2020-04-12,AL,11 - 100
83,2020-04-13,Alabama,104.0,2020-04-13,AL,"101 - 1,000"
84,2020-04-14,Alabama,114.0,2020-04-14,AL,"101 - 1,000"
85,2020-04-15,Alabama,123.0,2020-04-15,AL,"101 - 1,000"
86,2020-04-16,Alabama,137.0,2020-04-16,AL,"101 - 1,000"
87,2020-04-17,Alabama,151.0,2020-04-17,AL,"101 - 1,000"
88,2020-04-18,Alabama,147.0,2020-04-18,AL,"101 - 1,000"
89,2020-04-19,Alabama,160.0,2020-04-19,AL,"101 - 1,000"
90,2020-04-20,Alabama,164.0,2020-04-20,AL,"101 - 1,000"
91,2020-04-21,Alabama,186.0,2020-04-21,AL,"101 - 1,000"
92,2020-04-22,Alabama,201.0,2020-04-22,AL,"101 - 1,000"
93,2020-04-23,Alabama,197.0,2020-04-23,AL,"101 - 1,000"
94,2020-04-24,Alabama,209.0,2020-04-24,AL,"101 - 1,000"
95,2020-04-25,Alabama,213.0,2020-04-25,AL,"101 - 1,000"
96,2020-04-26,Alabama,219.0,2020-04-26,AL,"101 - 1,000"
97,2020-04-27,Alabama,228.0,2020-04-27,AL,"101 - 1,000"
98,2020-04-28,Alabama,242.0,2020-04-28,AL,"101 - 1,000"
99,2020-04-29,Alabama,262.0,2020-04-29,AL,"101 - 1,000"
100,2020-04-30,Alabama,272.0,2020-04-30,AL,"101 - 1,000"
101,2020-05-01,Alabama,289.0,2020-05-01,AL,"101 - 1,000"
102,2020-05-02,Alabama,288.0,2020-05-02,AL,"101 - 1,000"
103,2020-05-03,Alabama,290.0,2020-05-03,AL,"101 - 1,000"
104,2020-05-04,Alabama,298.0,2020-05-04,AL,"101 - 1,000"
105,2020-05-05,Alabama,315.0,2020-05-05,AL,"101 - 1,000"
106,2020-05-06,Alabama,343.0,2020-05-06,AL,"101 - 1,000"
107,2020-05-07,Alabama,369.0,2020-05-07,AL,"101 - 1,000"
108,2020-05-08,Alabama,383.0,2020-05-08,AL,"101 - 1,000"
109,2020-05-09,Alabama,390.0,2020-05-09,AL,"101 - 1,000"
110,2020-05-10,Alabama,393.0,2020-05-10,AL,"101 - 1,000"
111,2020-05-11,Alabama,403.0,2020-05-11,AL,"101 - 1,000"
112,2020-05-12,Alabama,435.0,2020-05-12,AL,"101 - 1,000"
113,2020-05-13,Alabama,450.0,2020-05-13,AL,"101 - 1,000"
114,2020-05-14,Alabama,473.0,2020-05-14,AL,"101 - 1,000"
115,2020-05-15,Alabama,483.0,2020-05-15,AL,"101 - 1,000"
116,2020-05-16,Alabama,485.0,2020-05-16,AL,"101 - 1,000"
117,2020-05-17,Alabama,488.0,2020-05-17,AL,"101 - 1,000"
118,2020-05-18,Alabama,489.0,2020-05-18,AL,"101 - 1,000"
119,2020-05-19,Alabama,504.0,2020-05-19,AL,"101 - 1,000"
120,2020-05-20,Alabama,522.0,2020-05-20,AL,"101 - 1,000"
121,2020-05-21,Alabama,529.0,2020-05-21,AL,"101 - 1,000"
122,2020-05-22,Alabama,541.0,2020-05-22,AL,"101 - 1,000"
123,2020-05-23,Alabama,549.0,2020-05-23,AL,"101 - 1,000"
124,2020-05-24,Alabama,551.0,2020-05-24,AL,"101 - 1,000"
125,2020-05-25,Alabama,566.0,2020-05-25,AL,"101 - 1,000"
126,2020-05-26,Alabama,580.0,2020-05-26,AL,"101 - 1,000"
127,2020-05-27,Alabama,583.0,2020-05-27,AL,"101 - 1,000"
128,2020-05-28,Alabama,591.0,2020-05-28,AL,"101 - 1,000"
129,2020-05-29,Alabama,610.0,2020-05-29,AL,"101 - 1,000"
130,2020-05-30,Alabama,618.0,2020-05-30,AL,"101 - 1,000"
131,2020-05-31,Alabama,630.0,2020-05-31,AL,"101 - 1,000"
132,2020-06-01,Alabama,646.0,2020-06-01,AL,"101 - 1,000"
133,2020-06-02,Alabama,653.0,2020-06-02,AL,"101 - 1,000"
