,date,cases,deaths
0,2020-01-21,1,0
1,2020-01-22,1,0
2,2020-01-23,1,0
3,2020-01-24,2,0
4,2020-01-25,3,0
5,2020-01-26,5,0
6,2020-01-27,5,0
7,2020-01-28,5,0
8,2020-01-29,5,0
9,2020-01-30,6,0
10,2020-01-31,7,0
11,2020-02-01,8,0
12,2020-02-02,11,0
13,2020-02-03,11,0
14,2020-02-04,11,0
15,2020-02-05,12,0
16,2020-02-06,12,0
17,2020-02-07,12,0
18,2020-02-08,12,0
19,2020-02-09,12,0
20,2020-02-10,13,0
21,2020-02-11,13,0
22,2020-02-12,14,0
23,2020-02-13,15,0
24,2020-02-14,15,0
25,2020-02-15,15,0
26,2020-02-16,15,0
27,2020-02-17,25,0
28,2020-02-18,25,0
29,2020-02-19,25,0
30,2020-02-20,27,0
31,2020-02-21,30,0
32,2020-02-22,30,0
33,2020-02-23,30,0
34,2020-02-24,43,0
35,2020-02-25,45,0
36,2020-02-26,60,0
37,2020-02-27,60,0
38,2020-02-28,65,0
39,2020-02-29,70,1
40,2020-03-01,88,3
41,2020-03-02,104,6
42,2020-03-03,125,10
43,2020-03-04,161,12
44,2020-03-05,228,12
45,2020-03-06,311,15
46,2020-03-07,428,19
47,2020-03-08,547,22
48,2020-03-09,748,26
49,2020-03-10,1018,31
50,2020-03-11,1263,37
51,2020-03-12,1668,43
52,2020-03-13,2224,50
53,2020-03-14,2898,60
54,2020-03-15,3600,68
55,2020-03-16,4507,91
56,2020-03-17,5906,117
57,2020-03-18,8350,162
58,2020-03-19,12393,212
59,2020-03-20,18012,277
60,2020-03-21,24528,360
61,2020-03-22,33073,458
62,2020-03-23,43505,579
63,2020-03-24,53938,785
64,2020-03-25,68572,1054
65,2020-03-26,85570,1353
66,2020-03-27,102900,1770
67,2020-03-28,123966,2300
68,2020-03-29,142486,2718
69,2020-03-30,163955,3368
70,2020-03-31,188461,4304
71,2020-04-01,215391,5325
72,2020-04-02,245108,6541
73,2020-04-03,277426,7932
74,2020-04-04,312525,9488
75,2020-04-05,338141,10856
76,2020-04-06,369057,12382
77,2020-04-07,399394,14616
78,2020-04-08,431214,16701
79,2020-04-09,465913,18821
80,2020-04-10,499386,21084
81,2020-04-11,531106,23168
82,2020-04-12,558249,24849
83,2020-04-13,584018,26613
84,2020-04-14,610709,29318
85,2020-04-15,640742,32070
86,2020-04-16,672355,34419
87,2020-04-17,703864,36708
88,2020-04-18,732262,38659
89,2020-04-19,757596,40179
90,2020-04-20,784991,42016
91,2020-04-21,810505,44688
92,2020-04-22,839336,47059
93,2020-04-23,873112,49228
94,2020-04-24,909853,51360
95,2020-04-25,944261,53327
96,2020-04-26,970996,54580
97,2020-04-27,994193,56022
98,2020-04-28,1018844,58416
99,2020-04-29,1045399,60930
100,2020-04-30,1075756,63140
101,2020-05-01,1109726,64902
102,2020-05-02,1139200,66485
103,2020-05-03,1165340,67816
104,2020-05-04,1187302,68905
105,2020-05-05,1211011,71139
106,2020-05-06,1235517,73847
107,2020-05-07,1263995,75805
108,2020-05-08,1291643,77380
109,2020-05-09,1316511,78834
110,2020-05-10,1336828,79766
111,2020-05-11,1354449,80748
112,2020-05-12,1376749,82400
113,2020-05-13,1397894,84168
114,2020-05-14,1424856,85906
115,2020-05-15,1451093,87499
116,2020-05-16,1474752,88724
117,2020-05-17,1493766,89568
118,2020-05-18,1515593,90414
119,2020-05-19,1536570,91934
120,2020-05-20,1559640,93411
121,2020-05-21,1585373,94722
122,2020-05-22,1609172,96010
123,2020-05-23,1631440,97060
124,2020-05-24,1651471,97680
125,2020-05-25,1670571,98190
126,2020-05-26,1689467,98937
127,2020-05-27,1708211,100422
128,2020-05-28,1730723,101622
129,2020-05-29,1755271,102812
130,2020-05-30,1778668,103775
131,2020-05-31,1799302,104379
132,2020-06-01,1821199,105113
133,2020-06-02,1841990,106195
134,2020-06-03,1861977,107184
135,2020-06-04,1883593,108192
136,2020-06-05,1912302,109304
137,2020-06-06,1934818,110032
138,2020-06-07,1953434,110422
139,2020-06-08,1971641,111144
140,2020-06-09,1990446,112174
141,2020-06-10,2013298,113103
142,2020-06-11,2036500,113980
143,2020-06-12,2061993,114759
144,2020-06-13,2087327,115451
145,2020-06-14,2106457,115768
146,2020-06-15,2126574,116216
147,2020-06-16,2151459,116985
148,2020-06-17,2177114,117746
149,2020-06-18,2205173,118473
150,2020-06-19,2236009,119171
151,2020-06-20,2268034,119717
152,2020-06-21,2294413,119974
153,2020-06-22,2324879,120334
154,2020-06-23,2359939,121167
155,2020-06-24,2396928,121934
156,2020-06-25,2438101,124400
157,2020-06-26,2483629,125033
158,2020-06-27,2525928,125544
159,2020-06-28,2565436,125815
160,2020-06-29,2604932,126162
161,2020-06-30,2653321,127462
